program,gender,watIam,first_name,last_name,email,id,team number,group
AE/ARCH,F,slegric,Sheeree,Legrice,slegric@edu.uwaterloo.ca,57326830,,16
AE/ARCH,F,tbassil,Tressa,Bassil,tbassil@edu.uwaterloo.ca,72758464,,17
AE/ARCH,F,wattenb,Webster,Attenburrow,wattenb@edu.uwaterloo.ca,18905795,,18
AE/ARCH,M,adawido,Avery,Dawidowitz,adawido@edu.uwaterloo.ca,36598338,,1
AE/ARCH,M,adyble,Aleen,Dyble,adyble@edu.uwaterloo.ca,83012884,,4
AE/ARCH,M,agolby,Ada,Golby,agolby@edu.uwaterloo.ca,25767522,,5
AE/ARCH,M,cbartal,Cass,Bartalin,cbartal@edu.uwaterloo.ca,37912645,,7
AE/ARCH,M,cbeames,Carey,Beames,cbeames@edu.uwaterloo.ca,17490942,,8
AE/ARCH,M,cchessi,Chanda,Chessill,cchessi@edu.uwaterloo.ca,13477223,,10
AE/ARCH,M,ccroci,Candra,Croci,ccroci@edu.uwaterloo.ca,58845278,,12
AE/ARCH,M,cgrisda,Cullen,Grisdale,cgrisda@edu.uwaterloo.ca,39278151,,15
AE/ARCH,M,clangtr,Cathi,Langtree,clangtr@edu.uwaterloo.ca,59052490,,16
AE/ARCH,M,clindhe,Culley,Lindhe,clindhe@edu.uwaterloo.ca,79992218,,17
AE/ARCH,M,cmcphel,Claudie,McPhelimey,cmcphel@edu.uwaterloo.ca,66025615,,18
AE/ARCH,M,cnaulls,Cherish,Naulls,cnaulls@edu.uwaterloo.ca,39089031,,1
AE/ARCH,M,cputson,Colleen,Putson,cputson@edu.uwaterloo.ca,63828287,,4
AE/ARCH,M,dcosti,Dorey,Costi,dcosti@edu.uwaterloo.ca,88011707,,5
AE/ARCH,M,dhandli,Deb,Handlin,dhandli@edu.uwaterloo.ca,31245657,,7
AE/ARCH,M,dliell,Delcine,Liell,dliell@edu.uwaterloo.ca,45098162,,8
AE/ARCH,M,dpahlss,Dante,Pahlsson,dpahlss@edu.uwaterloo.ca,76379270,,10
AE/ARCH,M,dtower,Dallas,Tower,dtower@edu.uwaterloo.ca,68650525,,12
AE/ARCH,M,emcderm,Etan,McDermott,emcderm@edu.uwaterloo.ca,65740808,,15
AE/ARCH,M,eperill,Edan,Perillo,eperill@edu.uwaterloo.ca,24601534,,16
AE/ARCH,M,fvaz,Flint,Vaz,fvaz@edu.uwaterloo.ca,31483876,,17
AE/ARCH,M,gcamill,Garvey,Camilleri,gcamill@edu.uwaterloo.ca,64423561,,18
AE/ARCH,M,ghallga,Godfree,Hallgate,ghallga@edu.uwaterloo.ca,87914461,,1
AE/ARCH,M,gvasyut,Genni,Vasyutichev,gvasyut@edu.uwaterloo.ca,48524576,,4
AE/ARCH,M,gweerde,Guglielma,Weerdenburg,gweerde@edu.uwaterloo.ca,56668506,,5
AE/ARCH,M,hhoulth,Hillier,Houltham,hhoulth@edu.uwaterloo.ca,96789580,,7
AE/ARCH,M,hkilmar,Homer,Kilmartin,hkilmar@edu.uwaterloo.ca,85785654,,8
AE/ARCH,M,hwimlet,Hakeem,Wimlett,hwimlet@edu.uwaterloo.ca,59474314,,10
AE/ARCH,M,hwolton,Hillary,Wolton,hwolton@edu.uwaterloo.ca,21815514,,12
AE/ARCH,M,jblowfi,Jerad,Blowfield,jblowfi@edu.uwaterloo.ca,19927356,,15
AE/ARCH,M,jguyet,Joannes,Guyet,jguyet@edu.uwaterloo.ca,22427669,,16
AE/ARCH,M,jitscov,Jorie,Itscovitz,jitscov@edu.uwaterloo.ca,66569940,,17
AE/ARCH,M,jmeasor,Juieta,Measor,jmeasor@edu.uwaterloo.ca,13017112,,18
AE/ARCH,M,jpechol,Johnette,Pechold,jpechol@edu.uwaterloo.ca,90861982,,1
AE/ARCH,M,jraithb,Jared,Raithby,jraithb@edu.uwaterloo.ca,75208440,,4
AE/ARCH,M,kbramon,Katine,Bramont,kbramon@edu.uwaterloo.ca,23207360,,5
AE/ARCH,M,kmilkin,Killie,Milkins,kmilkin@edu.uwaterloo.ca,16107090,,7
AE/ARCH,M,koleszc,Ken,Oleszcuk,koleszc@edu.uwaterloo.ca,93340913,,8
AE/ARCH,M,krussel,Ki,Russel,krussel@edu.uwaterloo.ca,68296713,,10
AE/ARCH,M,kthake,Kalli,Thake,kthake@edu.uwaterloo.ca,42398539,,12
AE/ARCH,M,lbygrea,Lyman,Bygreaves,lbygrea@edu.uwaterloo.ca,48605454,,15
AE/ARCH,M,lclemen,Leonora,Clemenzi,lclemen@edu.uwaterloo.ca,23772681,,16
AE/ARCH,M,lm'chir,Lacey,M'Chirrie,lm'chir@edu.uwaterloo.ca,83574568,,17
AE/ARCH,M,lmontag,Lorry,Montague,lmontag@edu.uwaterloo.ca,73408600,,18
AE/ARCH,M,mbarens,Merrie,Barensky,mbarens@edu.uwaterloo.ca,70077394,,1
AE/ARCH,M,mbubb,Marco,Bubb,mbubb@edu.uwaterloo.ca,50657570,,4
AE/ARCH,M,mdutter,Madelyn,Dutteridge,mdutter@edu.uwaterloo.ca,89367273,,5
AE/ARCH,M,mhaywar,Maynard,Hayward,mhaywar@edu.uwaterloo.ca,84613550,,7
AE/ARCH,M,mkighly,Morly,Kighly,mkighly@edu.uwaterloo.ca,76037207,,8
AE/ARCH,M,mstrase,Melloney,Strase,mstrase@edu.uwaterloo.ca,86335806,,10
AE/ARCH,M,nmccane,Niccolo,McCane,nmccane@edu.uwaterloo.ca,20724632,,12
AE/ARCH,M,rbodyco,Rocky,Bodycote,rbodyco@edu.uwaterloo.ca,91373865,,15
AE/ARCH,M,rcarsey,Rosy,Carsey,rcarsey@edu.uwaterloo.ca,86469161,,16
AE/ARCH,M,rd'avau,Renae,D'Avaux,rd'avau@edu.uwaterloo.ca,51947496,,17
AE/ARCH,M,rde roe,Redford,De Roeck,rde roe@edu.uwaterloo.ca,93151837,,18
AE/ARCH,M,rpratle,Rowena,Pratley,rpratle@edu.uwaterloo.ca,98290807,,1
AE/ARCH,M,rsplave,Roseanne,Splaven,rsplave@edu.uwaterloo.ca,73967543,,4
AE/ARCH,M,rstroud,Rickard,Stroud,rstroud@edu.uwaterloo.ca,81861970,,5
AE/ARCH,M,sbaitma,Sherman,Baitman,sbaitma@edu.uwaterloo.ca,14054689,,7
AE/ARCH,M,scushio,Stefano,Cushion,scushio@edu.uwaterloo.ca,27149029,,8
AE/ARCH,M,smarian,Sabina,Marian,smarian@edu.uwaterloo.ca,10938340,,10
AE/ARCH,M,smcardl,Shoshanna,McArdle,smcardl@edu.uwaterloo.ca,26335669,,12
AE/ARCH,M,so'shav,Sofia,O'Shavlan,so'shav@edu.uwaterloo.ca,90364858,,15
AE/ARCH,M,sranyel,Sara,Ranyell,sranyel@edu.uwaterloo.ca,90948613,,16
AE/ARCH,M,tmcgroa,Tessy,McGroarty,tmcgroa@edu.uwaterloo.ca,95262847,,17
AE/ARCH,M,wbrumbl,Wittie,Brumble,wbrumbl@edu.uwaterloo.ca,46278737,,18
AE/ARCH,M,wkonman,Wilone,Konmann,wkonman@edu.uwaterloo.ca,73754308,,1
BME,F,aanglin,Adlai,Anglin,aanglin@edu.uwaterloo.ca,88835575,,2
BME,F,achaper,Auria,Chaperlin,achaper@edu.uwaterloo.ca,69865117,,8
BME,F,anickel,Arie,Nickels,anickel@edu.uwaterloo.ca,67289019,,12
BME,F,aprout,Antony,Prout,aprout@edu.uwaterloo.ca,54031452,,17
BME,F,bagersk,Beniamino,Agerskow,bagersk@edu.uwaterloo.ca,21708270,,18
BME,F,bjezzar,Bea,Jezzard,bjezzar@edu.uwaterloo.ca,15545586,,2
BME,F,bserjea,Bertrand,Serjeant,bserjea@edu.uwaterloo.ca,22996532,,8
BME,F,cetock,Chiquita,Etock,cetock@edu.uwaterloo.ca,97811644,,12
BME,F,chadgki,Corilla,Hadgkiss,chadgki@edu.uwaterloo.ca,13497050,,17
BME,F,cmeriot,Cher,Merioth,cmeriot@edu.uwaterloo.ca,93691055,,18
BME,F,cpottes,Cullen,Pottes,cpottes@edu.uwaterloo.ca,90638659,,2
BME,F,csoots,Chrisy,Soots,csoots@edu.uwaterloo.ca,70549606,,8
BME,F,cwallwo,Catlaina,Wallworke,cwallwo@edu.uwaterloo.ca,28336889,,12
BME,F,eambers,Elinore,Amberson,eambers@edu.uwaterloo.ca,74423589,,17
BME,F,egillog,Edgardo,Gillogley,egillog@edu.uwaterloo.ca,44435773,,18
BME,F,fbirche,Frank,Bircher,fbirche@edu.uwaterloo.ca,61777645,,2
BME,F,iallmar,Israel,Allmark,iallmar@edu.uwaterloo.ca,49919925,,8
BME,F,pferrul,Pavel,Ferrulli,pferrul@edu.uwaterloo.ca,55121181,,12
BME,F,rcarlow,Rafa,Carlow,rcarlow@edu.uwaterloo.ca,44637686,,17
BME,F,tkrzyza,Terrie,Krzyzanowski,tkrzyza@edu.uwaterloo.ca,80085200,,18
BME,M,aburde,Alard,Burde,aburde@edu.uwaterloo.ca,58321078,,2
BME,M,akeighl,Andree,Keighley,akeighl@edu.uwaterloo.ca,94109856,,8
BME,M,alansda,Agosto,Lansdale,alansda@edu.uwaterloo.ca,54984465,,12
BME,M,bstarza,Bryan,Starzaker,bstarza@edu.uwaterloo.ca,49812273,,17
BME,M,crallin,Cal,Rallinshaw,crallin@edu.uwaterloo.ca,38000717,,18
BME,M,dbutfie,Diena,Butfield,dbutfie@edu.uwaterloo.ca,18519253,,2
BME,M,dfiglio,Darwin,Figliovanni,dfiglio@edu.uwaterloo.ca,93923529,,8
BME,M,egrimsd,Ernesta,Grimsdyke,egrimsd@edu.uwaterloo.ca,31913881,,12
BME,M,ekalino,Ethe,Kalinowsky,ekalino@edu.uwaterloo.ca,60309383,,17
BME,M,eoffice,Evie,Officer,eoffice@edu.uwaterloo.ca,88300213,,18
BME,M,evedyas,Engelbert,Vedyasov,evedyas@edu.uwaterloo.ca,15877237,,2
BME,M,fmacrin,Fonzie,MacRinn,fmacrin@edu.uwaterloo.ca,99695088,,8
BME,M,geastby,Gaven,Eastby,geastby@edu.uwaterloo.ca,19282502,,12
BME,M,ipepper,Ive,Pepperell,ipepper@edu.uwaterloo.ca,36335608,,17
BME,M,jyurtse,Jules,Yurtsev,jyurtse@edu.uwaterloo.ca,22485865,,18
BME,M,kscraun,Kiel,Scrauniage,kscraun@edu.uwaterloo.ca,43833062,,2
BME,M,llangda,Leese,Langdale,llangda@edu.uwaterloo.ca,77246706,,8
BME,M,mjovic,Meryl,Jovic,mjovic@edu.uwaterloo.ca,78411859,,12
BME,M,mlawlor,Mic,Lawlor,mlawlor@edu.uwaterloo.ca,74749860,,17
BME,M,nryrie,Nicholas,Ryrie,nryrie@edu.uwaterloo.ca,49500170,,18
BME,M,odaud,Osborn,Daud,odaud@edu.uwaterloo.ca,37770243,,2
BME,M,omilhen,Oberon,Milhench,omilhen@edu.uwaterloo.ca,91155024,,8
BME,M,oschulz,Odie,Schulze,oschulz@edu.uwaterloo.ca,49444142,,12
BME,M,rdjuric,Rutger,Djuricic,rdjuric@edu.uwaterloo.ca,55248911,,17
BME,M,rdobney,Rance,Dobney,rdobney@edu.uwaterloo.ca,38792614,,18
BME,M,rgimson,Roderic,Gimson,rgimson@edu.uwaterloo.ca,69556721,,2
BME,M,rgroger,Romain,Groger,rgroger@edu.uwaterloo.ca,60389900,,8
BME,M,rjilkes,Riley,Jilkes,rjilkes@edu.uwaterloo.ca,38093792,,12
BME,M,rmuzzol,Rahel,Muzzollo,rmuzzol@edu.uwaterloo.ca,36334203,,17
BME,M,rparkin,Reg,Parkin,rparkin@edu.uwaterloo.ca,88984044,,18
BME,M,rrue,Randell,Rue,rrue@edu.uwaterloo.ca,24001397,,2
BME,M,sbrombe,Shamus,Brombell,sbrombe@edu.uwaterloo.ca,96696229,,8
BME,M,sde vaa,Sibyl,De Vaan,sde vaa@edu.uwaterloo.ca,36578109,,12
BME,M,skitchi,Sam,Kitchingman,skitchi@edu.uwaterloo.ca,61561963,,17
BME,M,so'carr,Skipton,O'Carran,so'carr@edu.uwaterloo.ca,49383041,,18
BME,M,sreen,Sayer,Reen,sreen@edu.uwaterloo.ca,71692345,,2
BME,M,svedyae,Stefanie,Vedyaev,svedyae@edu.uwaterloo.ca,91096719,,8
BME,M,vlaffol,Vlad,Laffoley-Lane,vlaffol@edu.uwaterloo.ca,23616096,,12
CHE,F,adaintr,Alessandra,Daintry,adaintr@edu.uwaterloo.ca,11988558,,1
CHE,F,ahallid,Austin,Halliday,ahallid@edu.uwaterloo.ca,28343239,,2
CHE,F,amatusz,Arman,Matuszynski,amatusz@edu.uwaterloo.ca,65014776,,3
CHE,F,anail,Arie,Nail,anail@edu.uwaterloo.ca,23713980,,4
CHE,F,awands,Austine,Wands,awands@edu.uwaterloo.ca,86367835,,5
CHE,F,bosgood,Bengt,Osgood,bosgood@edu.uwaterloo.ca,20885558,,6
CHE,F,btales,Bird,Tales,btales@edu.uwaterloo.ca,19734360,,7
CHE,F,ckrugma,Courtney,Krugmann,ckrugma@edu.uwaterloo.ca,11365288,,9
CHE,F,cmacnes,Charmaine,MacNess,cmacnes@edu.uwaterloo.ca,83693247,,10
CHE,F,dcarrag,Drud,Carragher,dcarrag@edu.uwaterloo.ca,67594831,,11
CHE,F,ddearle,Denney,Dearle,ddearle@edu.uwaterloo.ca,66275310,,13
CHE,F,delvers,Dirk,Elverston,delvers@edu.uwaterloo.ca,25467104,,15
CHE,F,dmercha,Dyana,Merchant,dmercha@edu.uwaterloo.ca,21094547,,17
CHE,F,eswayte,Englebert,Swayte,eswayte@edu.uwaterloo.ca,75656900,,18
CHE,F,fbaglin,Falkner,Baglin,fbaglin@edu.uwaterloo.ca,96025913,,1
CHE,F,flikly,Farlie,Likly,flikly@edu.uwaterloo.ca,58167391,,2
CHE,F,ggilhoo,Glen,Gilhool,ggilhoo@edu.uwaterloo.ca,75787537,,3
CHE,F,gliptro,Gerladina,Liptrot,gliptro@edu.uwaterloo.ca,41232224,,4
CHE,F,hcock,Hew,Cock,hcock@edu.uwaterloo.ca,51945974,,5
CHE,F,hhardwe,Hayley,Hardwell,hhardwe@edu.uwaterloo.ca,35150272,,6
CHE,F,hkolczy,Herb,Kolczynski,hkolczy@edu.uwaterloo.ca,34356607,,7
CHE,F,ihadwin,Isaiah,Hadwin,ihadwin@edu.uwaterloo.ca,71237157,,9
CHE,F,jgoldth,Jillene,Goldthorp,jgoldth@edu.uwaterloo.ca,51855180,,10
CHE,F,jlerigo,Janka,Lerigo,jlerigo@edu.uwaterloo.ca,67632929,,11
CHE,F,jmarger,Jehanna,Margeram,jmarger@edu.uwaterloo.ca,28417050,,13
CHE,F,kdearn,Kristal,Dearn,kdearn@edu.uwaterloo.ca,47098585,,15
CHE,F,kdeavin,Karoly,Deavin,kdeavin@edu.uwaterloo.ca,15377659,,17
CHE,F,klenox,Kelly,Lenox,klenox@edu.uwaterloo.ca,47960808,,18
CHE,F,lbrabbi,Linn,Brabbins,lbrabbi@edu.uwaterloo.ca,48589506,,1
CHE,F,ldossan,Lester,Dossantos,ldossan@edu.uwaterloo.ca,84259889,,2
CHE,F,lgabbot,Lezlie,Gabbotts,lgabbot@edu.uwaterloo.ca,91610379,,3
CHE,F,lulyat,Laurens,Ulyat,lulyat@edu.uwaterloo.ca,87941241,,4
CHE,F,lvasile,Logan,Vasile,lvasile@edu.uwaterloo.ca,44902432,,5
CHE,F,mbredbu,Merline,Bredbury,mbredbu@edu.uwaterloo.ca,91405638,,6
CHE,F,mgilsth,Marve,Gilsthorpe,mgilsth@edu.uwaterloo.ca,11802056,,7
CHE,F,mmatten,Moina,Matten,mmatten@edu.uwaterloo.ca,10712890,,9
CHE,F,mrudd,Marilin,Rudd,mrudd@edu.uwaterloo.ca,88498564,,10
CHE,F,nburrid,Nicola,Burridge,nburrid@edu.uwaterloo.ca,61698706,,11
CHE,F,nhighto,Nesta,Hightown,nhighto@edu.uwaterloo.ca,40870322,,13
CHE,F,pcrenna,Patrice,Crennan,pcrenna@edu.uwaterloo.ca,72606996,,15
CHE,F,pgilpil,Percy,Gilpillan,pgilpil@edu.uwaterloo.ca,53321005,,17
CHE,F,qrobert,Quentin,Robertot,qrobert@edu.uwaterloo.ca,47456896,,18
CHE,F,rpacke,Richardo,Packe,rpacke@edu.uwaterloo.ca,25379219,,1
CHE,F,rpanthe,Roth,Panther,rpanthe@edu.uwaterloo.ca,98911097,,2
CHE,F,rwase,Ronica,Wase,rwase@edu.uwaterloo.ca,76933857,,3
CHE,F,sclive,Silva,Clive,sclive@edu.uwaterloo.ca,22576206,,4
CHE,F,smitcha,Sandro,Mitcham,smitcha@edu.uwaterloo.ca,14780309,,5
CHE,F,srodman,Suzanna,Rodman,srodman@edu.uwaterloo.ca,35898194,,6
CHE,F,stemlet,Sayres,Temlett,stemlet@edu.uwaterloo.ca,85949901,,7
CHE,F,tbundy,Tristam,Bundy,tbundy@edu.uwaterloo.ca,56839946,,9
CHE,F,tmacket,Travers,Mackett,tmacket@edu.uwaterloo.ca,65962547,,10
CHE,F,tsargan,Tobie,Sargant,tsargan@edu.uwaterloo.ca,46392228,,11
CHE,F,wbenedi,Walsh,Benedict,wbenedi@edu.uwaterloo.ca,60400755,,13
CHE,F,wgylle,Wayland,Gylle,wgylle@edu.uwaterloo.ca,83180955,,15
CHE,F,wkayzer,Westley,Kayzer,wkayzer@edu.uwaterloo.ca,55873475,,17
CHE,F,wradlei,Wendel,Radleigh,wradlei@edu.uwaterloo.ca,44424492,,18
CHE,F,yramste,Yuma,Ramstead,yramste@edu.uwaterloo.ca,29782509,,1
CHE,M,acortes,Aprilette,Cortes,acortes@edu.uwaterloo.ca,95570906,,2
CHE,M,acrotch,Andreas,Crotch,acrotch@edu.uwaterloo.ca,91885157,,3
CHE,M,aczyz,Amerigo,Czyz,aczyz@edu.uwaterloo.ca,67587092,,4
CHE,M,adaintr,Adelaida,Daintrey,adaintr@edu.uwaterloo.ca,21952228,,5
CHE,M,adaouze,Aaren,Daouze,adaouze@edu.uwaterloo.ca,71426782,,6
CHE,M,adicte,Amalie,Dicte,adicte@edu.uwaterloo.ca,10558934,,7
CHE,M,agummie,Aubry,Gummie,agummie@edu.uwaterloo.ca,59992238,,9
CHE,M,ahuot,Adey,Huot,ahuot@edu.uwaterloo.ca,97087676,,10
CHE,M,alosbie,Adriane,Losbie,alosbie@edu.uwaterloo.ca,55709249,,11
CHE,M,avinten,Almeta,Vinten,avinten@edu.uwaterloo.ca,83949064,,13
CHE,M,bchaim,Barrie,Chaim,bchaim@edu.uwaterloo.ca,60132618,,15
CHE,M,bfranss,Brnaby,Fransseni,bfranss@edu.uwaterloo.ca,43913207,,17
CHE,M,bkleinh,Brooke,Kleinhaut,bkleinh@edu.uwaterloo.ca,28543145,,18
CHE,M,brousse,Bradan,Roussell,brousse@edu.uwaterloo.ca,29447425,,1
CHE,M,cbriddo,Camala,Briddock,cbriddo@edu.uwaterloo.ca,84264959,,2
CHE,M,ccalter,Cristiano,Caltera,ccalter@edu.uwaterloo.ca,12374017,,3
CHE,M,cfarnha,Christine,Farnham,cfarnha@edu.uwaterloo.ca,24829134,,4
CHE,M,cgumery,Conney,Gumery,cgumery@edu.uwaterloo.ca,93021374,,5
CHE,M,clissem,Conny,Lissemore,clissem@edu.uwaterloo.ca,25032885,,6
CHE,M,cmaccon,Cornell,Macconaghy,cmaccon@edu.uwaterloo.ca,48562823,,7
CHE,M,cphonix,Corilla,Phonix,cphonix@edu.uwaterloo.ca,82997439,,9
CHE,M,cponte,Chico,Ponte,cponte@edu.uwaterloo.ca,24994466,,10
CHE,M,cpringl,Coraline,Pringley,cpringl@edu.uwaterloo.ca,85444222,,11
CHE,M,cullock,Conny,Ullock,cullock@edu.uwaterloo.ca,74305583,,13
CHE,M,ddalrym,Dotty,Dalrymple,ddalrym@edu.uwaterloo.ca,74120983,,15
CHE,M,dfiltne,Donnie,Filtness,dfiltne@edu.uwaterloo.ca,43503941,,17
CHE,M,dkittle,Daryl,Kittle,dkittle@edu.uwaterloo.ca,89485471,,18
CHE,M,dmaddic,Debor,Maddicks,dmaddic@edu.uwaterloo.ca,11852301,,1
CHE,M,dplak,Delcine,Plak,dplak@edu.uwaterloo.ca,43619643,,2
CHE,M,edriver,Edouard,Driver,edriver@edu.uwaterloo.ca,87688900,,3
CHE,M,edudeni,Enos,Dudenie,edudeni@edu.uwaterloo.ca,59472291,,4
CHE,M,fbish,Francklyn,Bish,fbish@edu.uwaterloo.ca,69431088,,5
CHE,M,fbushel,Forster,Bushel,fbushel@edu.uwaterloo.ca,87203711,,6
CHE,M,fneller,Francklyn,Neller,fneller@edu.uwaterloo.ca,36829170,,7
CHE,M,gbilbee,Gerik,Bilbee,gbilbee@edu.uwaterloo.ca,94394280,,9
CHE,M,geastab,Gearalt,Eastabrook,geastab@edu.uwaterloo.ca,28622445,,10
CHE,M,gharlin,Gavrielle,Harlin,gharlin@edu.uwaterloo.ca,80539204,,11
CHE,M,gjago,Gabbi,Jago,gjago@edu.uwaterloo.ca,68312086,,13
CHE,M,gleathw,Gillan,Leathwood,gleathw@edu.uwaterloo.ca,62858242,,15
CHE,M,goulett,Gene,Oulett,goulett@edu.uwaterloo.ca,49540228,,17
CHE,M,gyanukh,Gibby,Yanukhin,gyanukh@edu.uwaterloo.ca,36392010,,18
CHE,M,hhaylan,Heida,Hayland,hhaylan@edu.uwaterloo.ca,57450282,,1
CHE,M,hjanks,Heidie,Janks,hjanks@edu.uwaterloo.ca,85421178,,2
CHE,M,hlarime,Herold,Larimer,hlarime@edu.uwaterloo.ca,30707621,,3
CHE,M,hpenton,Hedvige,Pentony,hpenton@edu.uwaterloo.ca,70978763,,4
CHE,M,hrubino,Hana,Rubinovitch,hrubino@edu.uwaterloo.ca,27490019,,5
CHE,M,hwhitel,Humberto,Whiteley,hwhitel@edu.uwaterloo.ca,54588082,,6
CHE,M,ifiltne,Ivett,Filtness,ifiltne@edu.uwaterloo.ca,85211927,,7
CHE,M,igreswe,Iorgo,Greswell,igreswe@edu.uwaterloo.ca,48309002,,9
CHE,M,imervyn,Immanuel,Mervyn,imervyn@edu.uwaterloo.ca,41217226,,10
CHE,M,jchetwy,Joell,Chetwynd,jchetwy@edu.uwaterloo.ca,89698617,,11
CHE,M,jdanher,Janet,Danher,jdanher@edu.uwaterloo.ca,34813096,,13
CHE,M,jgitten,Joellen,Gittens,jgitten@edu.uwaterloo.ca,30876043,,15
CHE,M,jpfeife,Jean,Pfeifer,jpfeife@edu.uwaterloo.ca,47488549,,17
CHE,M,jskim,Justen,Skim,jskim@edu.uwaterloo.ca,54416084,,18
CHE,M,jthomas,Jacqui,Thomassen,jthomas@edu.uwaterloo.ca,32728683,,1
CHE,M,jwhitti,Josselyn,Whittick,jwhitti@edu.uwaterloo.ca,91501027,,2
CHE,M,karthan,Karrah,Arthan,karthan@edu.uwaterloo.ca,35252758,,3
CHE,M,kbursna,Klemens,Bursnall,kbursna@edu.uwaterloo.ca,30277707,,4
CHE,M,kgledst,Kayne,Gledstane,kgledst@edu.uwaterloo.ca,46048724,,5
CHE,M,kguwer,Kenon,Guwer,kguwer@edu.uwaterloo.ca,75995200,,6
CHE,M,lcasell,Leonora,Casellas,lcasell@edu.uwaterloo.ca,66843040,,7
CHE,M,lcatten,Lindsy,Cattenach,lcatten@edu.uwaterloo.ca,27116066,,9
CHE,M,lgilvea,Lanie,Gilvear,lgilvea@edu.uwaterloo.ca,19164113,,10
CHE,M,lhinden,Lilla,Hindenberger,lhinden@edu.uwaterloo.ca,27382876,,11
CHE,M,lmarous,Livvyy,Marousek,lmarous@edu.uwaterloo.ca,95309290,,13
CHE,M,lsemeni,Lanny,Semeniuk,lsemeni@edu.uwaterloo.ca,46135226,,15
CHE,M,makrigg,Mirabel,Akrigg,makrigg@edu.uwaterloo.ca,20383397,,17
CHE,M,mbendix,Marty,Bendixen,mbendix@edu.uwaterloo.ca,85526188,,18
CHE,M,mgouldt,Mireille,Gouldthorp,mgouldt@edu.uwaterloo.ca,99305992,,1
CHE,M,mjambli,Mariann,Jamblin,mjambli@edu.uwaterloo.ca,59003633,,2
CHE,M,mmichel,Morganne,Micheli,mmichel@edu.uwaterloo.ca,21424290,,3
CHE,M,mraynha,Marlow,Raynham,mraynha@edu.uwaterloo.ca,33055826,,4
CHE,M,ocadwel,Olvan,Cadwell,ocadwel@edu.uwaterloo.ca,63398926,,5
CHE,M,pcouron,Perry,Couronne,pcouron@edu.uwaterloo.ca,98741416,,6
CHE,M,pgilfoy,Pip,Gilfoyle,pgilfoy@edu.uwaterloo.ca,53677410,,7
CHE,M,pheaker,Piggy,Heaker,pheaker@edu.uwaterloo.ca,97268996,,9
